SWC,SWP
0.41,1
0.4,1.75
0.39,3.5
0.38,5.25
0.37,7
0.36,11.41242938
0.35,11.74418605
0.34,12.09580838
0.33,12.4691358
0.32,12.86624204
0.31,13.28947368
0.3,13.7414966
0.29,14.22535211
0.28,14.74452555
0.27,15.3030303
0.26,15.90551181
0.25,16.55737705
0.24,17.26495726
0.23,18.03571429
0.22,18.87850467
0.21,19.80392157
0.2,20.82474227
0.19,21.95652174
0.18,23.2183908
0.17,24.63414634
0.16,26.23376623
0.15,28.05555556
0.14,30.14925373
0.13,32.58064516
0.12,35.43859649
0.11,38.84615385
0.1,42.9787234
0.09,48.0952381
0.08,54.59459459
0.07,63.125
0.06,74.81481481
0.05,91.81818182
0.04,118.8235294
0.03,168.3333333
0.02,288.5714286
0.01,1010